word	time	filler
"thank"	14.012	0
"you"	15.012666666666666	0
"lineup"	16.013333333333332	0
"easy"	17.014	0
"Massa"	17.411181818181817	0
"uh"	17.808363636363634	1
"let's"	18.20554545454545	0
"get"	18.602727272727268	0
"down"	18.999909090909085	0
"to"	19.397090909090902	0
"something"	19.79427272727272	0
"more"	20.191454545454537	0
"difficult"	20.588636363636354	0
"yeah"	20.98581818181817	0
"uh"	21.509	1
"my"	21.8174	0
"name's"	22.125799999999998	0
"Jim"	22.434199999999997	0
"blame"	22.742599999999996	0
"him"	23.050999999999995	0
"um"	23.359399999999994	1
"like"	23.667799999999993	0
"she"	23.97619999999999	0
"said"	24.28459999999999	0
"uh"	25.349	1
"my"	25.7065	0
"day"	26.064	0
"job"	26.4215	0
"is"	26.779000000000003	0
"had"	27.136500000000005	0
"a"	27.494000000000007	0
"biomedical"	27.85150000000001	0
"research"	28.20900000000001	0
"facility"	28.566500000000012	0
"for"	28.924000000000014	0
"doing"	29.281500000000015	0
"that"	29.639000000000017	0
"genomic"	29.99650000000002	0
"analysis"	30.849	0
"on"	31.3345	0
"worms"	31.082	0
"and"	31.521875	0
"flies"	31.961750000000002	0
"in"	32.401625	0
"other"	32.8415	0
"sciences"	33.281375000000004	0
"stuff"	33.721250000000005	0
"but"	34.161125000000006	0
"uh"	35.339	1
"for"	35.70355555555555	0
"fun"	36.06811111111111	0
"over"	36.43266666666666	0
"I"	36.79722222222222	0
"like"	37.16177777777777	0
"to"	37.526333333333326	0
"look"	37.89088888888888	0
"at"	38.255444444444436	0
"uh"	38.062	1
"data"	38.39533333333333	0
"visualizations"	38.72866666666667	0
"and"	39.062000000000005	0
"an"	39.39533333333334	0
"interactive"	39.728666666666676	0
"once"	40.06200000000001	0
"and"	40.39533333333335	0
"today"	40.72866666666668	0
"I'd"	41.06200000000002	0
"like"	41.395333333333355	0
"to"	41.72866666666669	0
"uh"	42.062	1
"talk"	42.4677	0
"about"	42.873400000000004	0
"that"	43.27910000000001	0
"the"	43.68480000000001	0
"force"	44.09050000000001	0
"layout"	44.496200000000016	0
"Coloma"	44.90190000000002	0
"more"	45.30760000000002	0
"detail"	45.713300000000025	0
"and"	47.019	0
"and"	47.35611111111111	0
"how"	47.693222222222225	0
"to"	48.03033333333334	0
"uh"	48.36744444444445	1
"I"	48.704555555555565	0
"use"	49.04166666666668	0
"it"	49.37877777777779	0
"and"	49.715888888888905	0
"in"	50.053	0
"a"	50.342214285714284	0
"non"	50.63142857142857	0
"traditional"	50.92064285714286	0
"manner"	51.209857142857146	0
"some"	51.49907142857143	0
"so"	51.78828571428572	0
"we're"	52.07750000000001	0
"gonna"	52.366714285714295	0
"be"	52.65592857142858	0
"abusing"	52.94514285714287	0
"the"	53.23435714285716	0
"force"	53.523571428571444	0
"they"	53.81278571428573	0
"are"	54.579	0
"typically"	54.617999999999995	0
"here's"	55.359	0
"ah"	55.7241	1
"here's"	56.0892	0
"a"	56.454299999999996	0
"you"	56.819399999999995	0
"know"	57.18449999999999	0
"we"	57.54959999999999	0
"just"	57.91469999999999	0
"saw"	58.27979999999999	0
"ah"	58.644899999999986	1
"example"	59.001	0
"have"	59.4021	0
"your"	59.8032	0
"traditional"	60.204299999999996	0
"course"	60.605399999999996	0
"layout"	61.006499999999996	0
"andy"	61.407599999999995	0
"is"	61.808699999999995	0
"this"	62.209799999999994	0
"is"	62.610899999999994	0
"typically"	63.012	0
"utilize"	63.387875	0
"for"	63.76375	0
"your"	64.139625	0
"social"	64.5155	0
"network"	64.89137500000001	0
"or"	65.26725000000002	0
"your"	65.64312500000003	0
"congress'"	66.019	0
"voting"	66.29854545454546	0
"on"	66.57809090909092	0
"the"	66.85763636363637	0
"same"	67.13718181818183	0
"stuff"	67.41672727272729	0
"you"	67.69627272727274	0
"know"	67.9758181818182	0
"network"	68.25536363636365	0
"based"	68.53490909090911	0
"stuff"	68.81445454545457	0
"um"	69.094	1
"but"	69.46390909090908	0
"we're"	69.83381818181817	0
"going"	70.20372727272726	0
"to"	70.57363636363635	0
"abuse"	70.94354545454544	0
"this"	71.31345454545453	0
"force"	71.68336363636362	0
"a"	72.05327272727271	0
"little"	72.4231818181818	0
"bit"	72.79309090909089	0
"and"	74.009	0
"come"	74.34909999999999	0
"up"	74.6892	0
"with"	75.0293	0
"some"	75.36940000000001	0
"novel"	75.70950000000002	0
"ways"	76.04960000000003	0
"to"	76.38970000000003	0
"apply"	76.72980000000004	0
"it"	77.06990000000005	0
"ah"	77.041	1
"to"	77.31179999999999	0
"other"	77.58259999999999	0
"data"	77.85339999999998	0
"visualization"	78.12419999999997	0
"techniques"	78.39499999999997	0
"to"	78.66579999999996	0
"make"	78.93659999999996	0
"your"	79.20739999999995	0
"ah"	79.47819999999994	1
"life"	79.74899999999994	0
"a"	80.01979999999993	0
"little"	80.29059999999993	0
"bit"	80.56139999999992	0
"easier"	80.83219999999992	0
"so"	82.003	0
"for"	82.46654545454545	0
"size"	82.93009090909091	0
"12"	83.39363636363636	0
"get"	83.85718181818181	0
"everybody"	84.32072727272727	0
"on"	84.78427272727272	0
"a"	85.24781818181818	0
"baseline"	85.71136363636363	0
"of"	86.17490909090908	0
"what"	86.63845454545454	0
"what"	88.002	0
"exactly"	88.33918181818181	0
"what"	88.67636363636363	0
"we're"	89.01354545454545	0
"talking"	89.35072727272727	0
"about"	89.68790909090909	0
"I"	90.0250909090909	0
"mean"	90.36227272727272	0
"force"	90.69945454545454	0
"layout"	91.03663636363636	0
"um"	91.37381818181818	1
"I"	91.729	0
"think"	91.96729411764706	0
"you"	92.20558823529412	0
"know"	92.44388235294117	0
"for"	92.68217647058823	0
"most"	92.92047058823529	0
"people"	93.15876470588235	0
"work"	93.3970588235294	0
"I"	93.63535294117646	0
"would"	93.87364705882352	0
"agree"	94.11194117647058	0
"that"	94.35023529411764	0
"I"	94.5885294117647	0
"with"	94.82682352941175	0
"the"	95.06511764705881	0
"right"	95.30341176470587	0
"amount"	95.54170588235293	0
"of"	95.078	0
"notes"	95.5855	0
"in"	96.093	0
"Europe"	96.37290909090909	0
"with"	96.65281818181818	0
"the"	96.93272727272726	0
"right"	97.21263636363635	0
"amount"	97.49254545454544	0
"above"	97.77245454545452	0
"was"	98.05236363636361	0
"in"	98.3322727272727	0
"your"	98.61218181818178	0
"layout"	98.89209090909087	0
"um"	100.009	1
"it's"	100.29292307692307	0
"a"	100.57684615384615	0
"pleasing"	100.86076923076922	0
"way"	101.1446923076923	0
"it's"	101.42861538461537	0
"a"	101.71253846153844	0
"pretty"	101.99646153846152	0
"way"	102.28038461538459	0
"to"	102.56430769230766	0
"draw"	102.84823076923074	0
"a"	103.13215384615381	0
"graph"	103.41607692307689	0
"um"	103.007	1
"it"	103.31646153846154	0
"but"	103.62592307692307	0
"it"	103.9353846153846	0
"works"	104.24484615384614	0
"underneath"	104.55430769230767	0
"the"	104.86376923076921	0
"covers"	105.17323076923074	0
"is"	105.48269230769228	0
"working"	105.79215384615381	0
"as"	106.10161538461534	0
"a"	106.41107692307688	0
"physical"	106.72053846153841	0
"simulation"	107.093	0
"so"	107.431	0
"you"	107.76899999999999	0
"to"	108.10699999999999	0
"these"	108.44499999999998	0
"notes"	108.78299999999997	0
"is"	110.021	0
"kinda"	110.42181818181818	0
"but"	110.82263636363636	0
"a"	111.22345454545454	0
"charged"	111.62427272727273	0
"force"	112.0250909090909	0
"are"	112.42590909090909	0
"charged"	112.82672727272727	0
"particle"	113.22754545454545	0
"excuse"	113.62836363636363	0
"me"	114.02918181818181	0
"and"	114.619	0
"they"	115.14628571428571	0
"have"	115.67357142857142	0
"these"	116.20085714285713	0
"charges"	116.72814285714284	0
"work"	117.25542857142855	0
"to"	117.78271428571426	0
"to"	118.031	0
"move"	118.30636363636364	0
"to"	118.58172727272728	0
"reports"	118.85709090909091	0
"or"	119.13245454545455	0
"to"	119.40781818181819	0
"attract"	119.68318181818182	0
"them"	119.95854545454546	0
"in"	120.2339090909091	0
"different"	120.50927272727273	0
"ways"	120.78463636363637	0
"and"	121.006	0
"the"	121.371	0
"links"	121.73599999999999	0
"between"	122.10099999999998	0
"these"	122.46599999999998	0
"notes"	122.83099999999997	0
"constrain"	123.19599999999997	0
"that"	123.56099999999996	0
"movement"	123.92599999999996	0
"and"	124.29099999999995	0
"the"	124.65599999999995	0
"simulation"	125.075	0
"works"	125.4348	0
"as"	125.79459999999999	0
"a"	126.15439999999998	0
"giant"	126.51419999999997	0
"loop"	127.549	0
"so"	128.0061	0
"uh"	128.4632	1
"each"	128.9203	0
"iteration"	129.3774	0
"each"	129.8345	0
"cycle"	130.2916	0
"this"	130.74869999999999	0
"loop"	131.20579999999998	0
"ah"	131.66289999999998	1
"the"	132.012	0
"charges"	132.5685	0
"are"	133.125	0
"ah"	133.6815	1
"are"	134.238	0
"im"	134.7945	0
"impact"	135.459	0
"the"	135.84407142857143	0
"notes"	136.22914285714285	0
"they"	136.61421428571427	0
"move"	136.9992857142857	0
"and"	137.3843571428571	0
"visual"	137.76942857142853	0
"display"	138.15449999999996	0
"is"	138.53957142857138	0
"updated"	138.9246428571428	0
"and"	139.30971428571422	0
"that"	139.69478571428564	0
"looping"	140.07985714285707	0
"just"	140.4649285714285	0
"occurs"	140.085	0
"over"	140.29160000000002	0
"and"	140.49820000000003	0
"over"	140.70480000000003	0
"again"	140.91140000000004	0
"until"	142.018	0
"it"	142.44985714285716	0
"settles"	142.8817142857143	0
"into"	143.31357142857146	0
"a"	143.74542857142862	0
"stable"	144.17728571428577	0
"configuration"	144.60914285714293	0
"um"	145.041	1
"so"	145.6125714285714	0
"that's"	146.18414285714283	0
"that's"	146.75571428571425	0
"the"	147.32728571428567	0
"force"	147.89885714285708	0
"layout"	148.4704285714285	0
"in"	149.042	0
"a"	149.24806666666666	0
"not"	149.45413333333332	0
"so"	149.66019999999997	0
"that's"	149.86626666666663	0
"that's"	150.0723333333333	0
"how"	150.27839999999995	0
"it"	150.4844666666666	0
"usually"	150.69053333333326	0
"works"	150.89659999999992	0
"I'm"	151.10266666666658	0
"a"	151.30873333333324	0
"big"	151.5147999999999	0
"fan"	151.72086666666655	0
"of"	151.9269333333332	0
"this"	153.033	0
"concept"	153.31959999999998	0
"that"	153.60619999999997	0
"everything"	153.89279999999997	0
"is"	154.17939999999996	0
"a"	154.46599999999995	0
"remix"	154.75259999999994	0
"uh"	155.03919999999994	1
"which"	155.32579999999993	0
"I"	155.61239999999992	0
"first"	155.89899999999992	0
"kinda"	156.1855999999999	0
"last"	156.4721999999999	0
"onto"	156.7587999999999	0
"from"	157.0453999999999	0
"curry"	157.629	0
"ferguson's"	158.15449999999998	0
"a"	158.068	0
"wonderful"	158.516625	0
"videos"	158.96525	0
"which"	159.413875	0
"you"	159.86249999999998	0
"haven't"	160.31112499999998	0
"seen"	160.75974999999997	0
"ah"	161.20837499999996	1
"put"	162.269	0
"in"	162.53446153846156	0
"your"	162.7999230769231	0
"headphones"	163.06538461538466	0
"now"	163.3308461538462	0
"I'm"	163.59630769230776	0
"and"	163.8617692307693	0
"so"	164.12723076923086	0
"it"	164.3926923076924	0
"wasn't"	164.65815384615397	0
"on"	164.92361538461552	0
"ignore"	165.18907692307707	0
"me"	165.45453846153862	0
"ah"	165.072	1
"but"	165.447375	0
"his"	165.82274999999998	0
"his"	166.19812499999998	0
"main"	166.57349999999997	0
"thesis"	166.94887499999996	0
"is"	167.32424999999995	0
"that"	167.69962499999994	0
"um"	168.075	1
"in"	168.41733333333332	0
"the"	168.75966666666665	0
"art"	169.10199999999998	0
"in"	169.4443333333333	0
"the"	169.78666666666663	0
"creative"	170.12899999999996	0
"world"	170.4713333333333	0
"ah"	170.81366666666662	1
"new"	172.056	0
"works"	172.58083333333335	0
"are"	173.10566666666668	0
"created"	173.6305	0
"by"	174.15533333333335	0
"simple"	174.68016666666668	0
"modifications"	175.709	0
"of"	176.0483076923077	0
"existing"	176.3876153846154	0
"work"	176.7269230769231	0
"see"	177.0662307692308	0
"you"	177.4055384615385	0
"take"	177.7448461538462	0
"you"	178.0841538461539	0
"take"	178.4234615384616	0
"some"	178.7627692307693	0
"existing"	179.102076923077	0
"stuff"	179.4413846153847	0
"you"	179.7806923076924	0
"copy"	180.012	0
"you"	180.348	0
"transform"	180.68400000000003	0
"into"	181.02000000000004	0
"you"	181.35600000000005	0
"combine"	181.69200000000006	0
"ah"	182.02800000000008	1
"at"	182.3640000000001	0
"a"	182.7000000000001	0
"great"	183.03600000000012	0
"new"	183.37200000000013	0
"pieces"	183.70800000000014	0
"and"	184.044	0
"it"	184.4774285714286	0
"his"	184.91085714285717	0
"his"	185.34428571428575	0
"videos"	185.77771428571432	0
"are"	186.2111428571429	0
"about"	186.64457142857148	0
